"director_name","duration","actor_2_name","gross","actor_1_name","movie_title","actor_3_name","language","country","budget","title_year","imdb_score","genres"
"Michael Bay",154,"Lester Speight",352358779,"Glenn Morshower","Transformers: Dark of the Moon ","Kevin Dunn","English","USA",195000000,2011,6.3,"Action"
"Steven Spielberg",122,"Ray Winstone",317011114,"Harrison Ford","Indiana Jones and the Kingdom of the Crystal Skull ","Jim Broadbent","English","USA",185000000,2008,6.2,"Action"
"Mark Andrews",93,"John Ratzenberger",237282182,"Kelly Macdonald","Brave ","Julie Walters","English","USA",185000000,2012,7.2,"Adventure"
"Justin Lin",122,"Melissa Roxburgh",130468626,"Sofia Boutella","Star Trek Beyond ","Lydia Wilson","English","USA",185000000,2016,7.5,"Action"
"Andrew Stanton",98,"Fred Willard",223806889,"John Ratzenberger","WALL·E ","Jeff Garlin","English","USA",180000000,2008,8.4,"Adventure"
"Brett Ratner",91,"Dana Ivey",140080850,"Tzi Ma","Rush Hour 3 ","Noémie Lenoir","English","USA",140000000,2007,6.2,"Action"
"Roland Emmerich",158,"Liam James",166112167,"Oliver Platt","2012 ","Tom McCarthy","English","USA",200000000,2009,5.8,"Action"
"Robert Zemeckis",96,"Colin Firth",137850096,"Robin Wright","A Christmas Carol ","Gary Oldman","English","USA",200000000,2009,6.8,"Animation"
"Lana Wachowski",127,"Mila Kunis",47375327,"Channing Tatum","Jupiter Ascending ","Eddie Redmayne","English","USA",176000000,2015,5.4,"Action"
"David Yates",110,"Alexander Skarsgård",124051759,"Christoph Waltz","The Legend of Tarzan ","Casper Crump","English","USA",180000000,2016,6.6,"Action"
"Andrew Adamson",150,"Kiran Shah",291709845,"Jim Broadbent","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Shane Rangi","English","USA",180000000,2005,6.9,"Adventure"
"Bryan Singer",144,"Michael Fassbender",154985087,"Jennifer Lawrence","X-Men: Apocalypse ","Tye Sheridan","English","USA",178000000,2016,7.3,"Action"
"Christopher Nolan",152,"Heath Ledger",533316061,"Christian Bale","The Dark Knight ","Morgan Freeman","English","USA",185000000,2008,9,"Action"
"Pete Docter",96,"Delroy Lindo",292979556,"John Ratzenberger","Up ","Jess Harnell","English","USA",175000000,2009,8.3,"Adventure"
"Rob Letterman",94,"Rainn Wilson",198332128,"Amy Poehler","Monsters vs. Aliens ","Stephen Colbert","English","USA",175000000,2009,6.5,"Action"
"Jon Favreau",126,"Jeff Bridges",318298180,"Robert Downey Jr.","Iron Man ","Jon Favreau","English","USA",140000000,2008,7.9,"Action"
"Martin Scorsese",126,"Christopher Lee",73820094,"Chloë Grace Moretz","Hugo ","Ray Winstone","English","USA",170000000,2011,7.5,"Adventure"
"Barry Sonnenfeld",106,"Salma Hayek",113745408,"Will Smith","Wild Wild West ","Bai Ling","English","USA",170000000,1999,4.8,"Action"
"Rob Cohen",112,"Brendan Fraser",102176165,"Jet Li","The Mummy: Tomb of the Dragon Emperor ","Russell Wong","English","USA",145000000,2008,5.2,"Action"
"David Ayer",123,"Robin Atkin Downes",161087183,"Will Smith","Suicide Squad ","Ike Barinholtz","English","USA",175000000,2016,6.9,"Action"
"Tom Shadyac",96,"Morgan Freeman",100289690,"Jimmy Bennett","Evan Almighty ","Steve Carell","English","USA",175000000,2007,5.4,"Comedy"
"Doug Liman",113,"Lara Pulver",100189501,"Tom Cruise","Edge of Tomorrow ","Noah Taylor","English","USA",178000000,2014,7.9,"Action"
"Kevin Reynolds",176,"Rick Aviles",88246220,"Jeanne Tripplehorn","Waterworld ","Zakes Mokae","English","USA",175000000,1995,6.1,"Action"
"Stephen Sommers",118,"Dennis Quaid",150167630,"Joseph Gordon-Levitt","G.I. Joe: The Rise of Cobra ","Leo Howard","English","USA",175000000,2009,5.8,"Action"
"Pete Docter",95,"Mindy Kaling",356454367,"Amy Poehler","Inside Out ","Phyllis Smith","English","USA",175000000,2015,8.3,"Adventure"
"Jon Favreau",106,"Bill Murray",362645141,"Scarlett Johansson","The Jungle Book ","Garry Shandling","English","UK",175000000,2016,7.8,"Adventure"
"Jon Favreau",124,"Scarlett Johansson",312057433,"Robert Downey Jr.","Iron Man 2 ","Jon Favreau","English","USA",200000000,2010,7,"Action"
"Rupert Sanders",132,"Kristen Stewart",155111815,"Chris Hemsworth","Snow White and the Huntsman ","Sam Claflin","English","USA",170000000,2012,6.1,"Action"
"Robert Stromberg",97,"Sharlto Copley",241407328,"Angelina Jolie Pitt","Maleficent ","Sam Riley","English","USA",180000000,2014,7,"Action"
"Matt Reeves",130,"Judy Greer",208543795,"Gary Oldman","Dawn of the Planet of the Apes ","Kodi Smit-McPhee","English","USA",170000000,2014,7.6,"Action"
"Carl Rinsch",128,"Cary-Hiroyuki Tagawa",38297305,"Keanu Reeves","47 Ronin ","Jin Akanishi","English","USA",175000000,2013,6.3,"Action"
"Anthony Russo",136,"Chris Evans",259746958,"Scarlett Johansson","Captain America: The Winter Soldier ","Hayley Atwell","English","USA",170000000,2014,7.8,"Action"
"Mike Mitchell",93,"Kathy Griffin",238371987,"Jon Hamm","Shrek Forever After ","Mary Kay Place","English","USA",165000000,2010,6.4,"Adventure"
"Brad Bird",130,"Chris Bauer",93417865,"Judy Greer","Tomorrowland ","Thomas Robinson","English","USA",190000000,2015,6.5,"Action"
"Don Hall",102,"Daniel Henney",222487711,"Damon Wayans Jr.","Big Hero 6 ","Abraham Benrubi","English","USA",165000000,2014,7.9,"Action"
"Rich Moore",101,"Sarah Silverman",189412677,"Jack McBrayer","Wreck-It Ralph ","Joe Lo Truglio","English","USA",165000000,2012,7.8,"Adventure"
"Robert Zemeckis",100,"Eddie Deezen",665426,"Tom Hanks","The Polar Express ","Peter Scolari","English","USA",165000000,2004,6.6,"Adventure"
"Roland Emmerich",120,"Sela Ward",102315545,"Vivica A. Fox","Independence Day: Resurgence ","Judd Hirsch","English","USA",165000000,2016,5.5,"Action"
"Dean DeBlois",98,"America Ferrera",217387997,"Gerard Butler","How to Train Your Dragon ","Craig Ferguson","English","USA",165000000,2010,8.2,"Adventure"
"Jonathan Mostow",109,"M.C. Gainey",150350192,"Nick Stahl","Terminator 3: Rise of the Machines ","Carolyn Hennesy","English","USA",200000000,2003,6.4,"Action"
"James Gunn",121,"Vin Diesel",333130696,"Bradley Cooper","Guardians of the Galaxy ","Djimon Hounsou","English","USA",170000000,2014,8.1,"Action"
"Christopher Nolan",169,"Anne Hathaway",187991439,"Matthew McConaughey","Interstellar ","Mackenzie Foy","English","USA",165000000,2014,8.6,"Adventure"
"Christopher Nolan",148,"Tom Hardy",292568851,"Leonardo DiCaprio","Inception ","Joseph Gordon-Levitt","English","USA",160000000,2010,8.8,"Action"
"Peter Jackson",182,"Adam Brown",303001229,"Aidan Turner","The Hobbit: An Unexpected Journey ","James Nesbitt","English","USA",180000000,2012,7.9,"Adventure"
"Rob Cohen",106,"Vin Diesel",144512310,"Paul Walker","The Fast and the Furious ","Jordana Brewster","English","USA",38000000,2001,6.7,"Action"
"David Fincher",166,"Jason Flemyng",127490802,"Brad Pitt","The Curious Case of Benjamin Button ","Julia Ormond","English","USA",150000000,2008,7.8,"Drama"
"Matthew Vaughn",132,"Michael Fassbender",146405371,"Jennifer Lawrence","X-Men: First Class ","Oliver Platt","English","USA",160000000,2011,7.8,"Action"
"Francis Lawrence",137,"Philip Seymour Hoffman",281666058,"Jennifer Lawrence","The Hunger Games: Mockingjay - Part 2 ","Josh Hutcherson","English","USA",160000000,2015,6.6,"Adventure"
"Jon Turteltaub",109,"Omar Benson Miller",63143812,"Nicolas Cage","The Sorcerer's Apprentice ","Robert Capron","English","USA",150000000,2010,6.1,"Action"
"Wolfgang Petersen",98,"Mike Vogel",60655503,"Jimmy Bennett","Poseidon ","Andre Braugher","English","USA",160000000,2006,5.6,"Action"
"James Bobin",113,"Alan Rickman",76846624,"Johnny Depp","Alice Through the Looking Glass ","Anne Hathaway","English","USA",170000000,2016,6.4,"Adventure"
"Chris Miller",93,"Eric Idle",320706665,"Justin Timberlake","Shrek the Third ","Rupert Everett","English","USA",160000000,2007,6.1,"Adventure"
"Duncan Jones",123,"Callum Rennie",46978995,"Dominic Cooper","Warcraft ","Ruth Negga","English","USA",160000000,2016,7.3,"Action"
"Alan Taylor",126,"Emilia Clarke",89732035,"J.K. Simmons","Terminator Genisys ","Matt Smith","English","USA",155000000,2015,6.6,"Action"
"Michael Apted",113,"Shane Rangi",104383624,"Bruce Spence","The Chronicles of Narnia: The Voyage of the Dawn Treader ","Laura Brent","English","USA",155000000,2010,6.3,"Adventure"
"Michael Bay",184,"Jaime King",198539855,"Jennifer Garner","Pearl Harbor ","Mako","English","USA",140000000,2001,6.1,"Action"
"Michael Bay",144,"Michael O'Neill",318759914,"Zack Ward","Transformers ","Kevin Dunn","English","USA",150000000,2007,7.1,"Action"
"Oliver Stone",206,"Angelina Jolie Pitt",34293771,"Anthony Hopkins","Alexander ","Brian Blessed","English","Germany",155000000,2004,5.5,"Action"
"David Yates",138,"Daniel Radcliffe",292000866,"Robert Pattinson","Harry Potter and the Order of the Phoenix ","Fiona Shaw","English","UK",150000000,2007,7.5,"Adventure"
"Mike Newell",157,"Daniel Radcliffe",289994397,"Robert Pattinson","Harry Potter and the Goblet of Fire ","Rupert Grint","English","UK",150000000,2005,7.6,"Adventure"
"Peter Berg",102,"Charlize Theron",227946274,"Will Smith","Hancock ","Eddie Marsan","English","USA",150000000,2008,6.4,"Action"
"Francis Lawrence",104,"Alice Braga",256386216,"Will Smith","I Am Legend ","Willow Smith","English","USA",150000000,2007,7.2,"Drama"
"Tim Burton",115,"Christopher Lee",206456431,"Johnny Depp","Charlie and the Chocolate Factory ","David Kelly","English","USA",150000000,2005,6.7,"Adventure"
"Brad Bird",111,"John Ratzenberger",206435493,"Janeane Garofalo","Ratatouille ","Brian Dennehy","English","USA",150000000,2007,8,"Animation"
"Christopher Nolan",128,"Liam Neeson",205343774,"Christian Bale","Batman Begins ","Morgan Freeman","English","USA",150000000,2005,8.3,"Action"
"Eric Darnell",89,"Jada Pinkett Smith",179982968,"Bernie Mac","Madagascar: Escape 2 Africa ","Cedric the Entertainer","English","USA",150000000,2008,6.7,"Action"
"Shawn Levy",105,"Rami Malek",177243721,"Robin Williams","Night at the Museum: Battle of the Smithsonian ","Steve Coogan","English","USA",150000000,2009,5.9,"Adventure"
"Gavin Hood",119,"Ryan Reynolds",179883016,"Hugh Jackman","X-Men Origins: Wolverine ","Dominic Monaghan","English","USA",150000000,2009,6.7,"Action"
"Lana Wachowski",129,"Collin Chou",139259759,"Essie Davis","The Matrix Revolutions ","Nona Gaye","English","Australia",150000000,2003,6.7,"Action"
"Chris Buck",102,"Maurice LaMarche",400736600,"Josh Gad","Frozen ","Livvy Stubenrauch","English","USA",150000000,2013,7.6,"Adventure"
"Lana Wachowski",138,"Daniel Bernhardt",281492479,"Steve Bastoni","The Matrix Reloaded ","Helmut Bakaitis","English","USA",150000000,2003,7.2,"Action"
"Alan Taylor",112,"Natalie Portman",206360018,"Chris Hemsworth","Thor: The Dark World ","Anthony Hopkins","English","USA",170000000,2013,7.1,"Action"
"George Miller",120,"Charlize Theron",153629485,"Tom Hardy","Mad Max: Fury Road ","Zoë Kravitz","English","Australia",150000000,2015,8.1,"Action"
"Ron Howard",146,"Ayelet Zurer",133375846,"Tom Hanks","Angels & Demons ","Armin Mueller-Stahl","English","USA",150000000,2009,6.7,"Mystery"
"Kenneth Branagh",115,"Natalie Portman",181015141,"Chris Hemsworth","Thor ","Anthony Hopkins","English","USA",150000000,2011,7,"Action"
"Byron Howard",96,"Diedrich Bader",114053579,"Chloë Grace Moretz","Bolt ","James Lipton","English","USA",150000000,2008,6.9,"Adventure"
"Hoyt Yeatman",88,"Piper Mackenzie Harris",119420252,"Kelli Garner","G-Force ","Niecy Nash","English","USA",150000000,2009,5.1,"Action"
"Jonathan Liebesman",99,"Edgar Ramírez",83640426,"Liam Neeson","Wrath of the Titans ","Lily James","English","USA",150000000,2012,5.8,"Action"
"Tim Burton",113,"Chloë Grace Moretz",79711678,"Johnny Depp","Dark Shadows ","Christopher Lee","English","USA",100000000,2012,6.2,"Comedy"
"Christopher McQuarrie",131,"Jeremy Renner",195000874,"Tom Cruise","Mission: Impossible - Rogue Nation ","Sean Harris","English","China",150000000,2015,7.4,"Action"
"Joe Johnston",119,"Simon Merrells",61937495,"Anthony Hopkins","The Wolfman ","Art Malik","English","USA",150000000,2010,5.8,"Drama"
"David Yates",110,"Alexander Skarsgård",124051759,"Christoph Waltz","The Legend of Tarzan ","Casper Crump","English","USA",180000000,2016,6.6,"Action"
"Steve Hickner",91,"Oprah Winfrey",126597121,"Matthew Broderick","Bee Movie ","Rip Torn","English","USA",150000000,2007,6.2,"Adventure"
"Jennifer Yuh Nelson",90,"Gary Oldman",165230261,"Angelina Jolie Pitt","Kung Fu Panda 2 ","Mike Bell","English","USA",150000000,2011,7.3,"Action"
"M. Night Shyamalan",103,"Noah Ringer",131564731,"Seychelle Gabriel","The Last Airbender ","Aasif Mandvi","English","USA",150000000,2010,4.2,"Action"
"J.J. Abrams",124,"Tom Cruise",133382309,"Philip Seymour Hoffman","Mission: Impossible III ","Eddie Marsan","English","USA",150000000,2006,6.9,"Action"
"Roland Emmerich",131,"Jake Weber",73103784,"Channing Tatum","White House Down ","Matt Craven","English","USA",150000000,2013,6.4,"Action"
"Simon Wells",88,"Dan Fogler",21379315,"Elisabeth Harnois","Mars Needs Moms ","Tom Everett Scott","English","USA",150000000,2011,5.4,"Action"
"David Bowers",85,"Kate Winslet",64459316,"Hugh Jackman","Flushed Away ","David Suchet","English","UK",149000000,2006,6.7,"Adventure"
"Joe Wright",111,"Cara Delevingne",34964818,"Hugh Jackman","Pan ","Nonso Anozie","English","USA",150000000,2015,5.8,"Adventure"
"Rob Minkoff",92,"Zach Callison",111505642,"Ty Burrell","Mr. Peabody & Sherman ","Karan Brar","English","USA",145000000,2014,6.9,"Adventure"
"Wolfgang Petersen",196,"Orlando Bloom",133228348,"Brad Pitt","Troy ","Julian Glover","English","USA",175000000,2004,7.2,"Adventure"
"Eric Darnell",93,"Martin Short",216366733,"Jada Pinkett Smith","Madagascar 3: Europe's Most Wanted ","Cedric the Entertainer","English","USA",145000000,2012,6.9,"Adventure"
"Lee Tamahori",133,"Colin Salmon",160201106,"Toby Stephens","Die Another Day ","Rick Yune","English","UK",142000000,2002,6.1,"Action"
"Paul Feig",116,"Kate McKinnon",118099659,"Ed Begley Jr.","Ghostbusters ","Zach Woods","English","USA",144000000,2016,5.5,"Action"
"Michael Bay",153,"Steve Buscemi",201573391,"Bruce Willis","Armageddon ","Will Patton","English","USA",140000000,1998,6.6,"Action"
"Barry Sonnenfeld",88,"Rosario Dawson",190418803,"Will Smith","Men in Black II ","Rip Torn","English","USA",140000000,2002,6.1,"Action"
"Robert Zemeckis",115,"Anthony Hopkins",82161969,"Robin Wright","Beowulf ","Sebastian Roché","English","USA",150000000,2007,6.3,"Action"
"Alessandro Carloni",95,"Angelina Jolie Pitt",143523463,"J.K. Simmons","Kung Fu Panda 3 ","Wayne Knight","English","USA",145000000,2016,7.2,"Action"
"Brad Bird",133,"Jeremy Renner",209364921,"Tom Cruise","Mission: Impossible - Ghost Protocol ","Michael Nyqvist","English","USA",145000000,2011,7.4,"Action"
"Peter Ramsey",97,"Kamil McFadden",103400692,"Hugh Jackman","Rise of the Guardians ","Khamani Griffin","English","USA",145000000,2012,7.3,"Adventure"
"Dean Parisot",90,"Richard Burgi",110332737,"John Michael Higgins","Fun with Dick and Jane ","David Herman","English","USA",100000000,2005,6.1,"Comedy"
"Edward Zwick",154,"Tony Goldwyn",111110575,"Tom Cruise","The Last Samurai ","Chad Lindberg","English","USA",140000000,2003,7.7,"Action"
"Ridley Scott",150,"María Valverde",65007045,"Christian Bale","Exodus: Gods and Kings ","Ben Mendelsohn","English","UK",140000000,2014,6.1,"Action"
"J.J. Abrams",127,"Leonard Nimoy",257704099,"Chris Hemsworth","Star Trek ","Bruce Greenwood","English","USA",150000000,2009,8,"Action"
"Sam Raimi",121,"James Franco",403706375,"J.K. Simmons","Spider-Man ","Kirsten Dunst","English","USA",139000000,2002,7.3,"Action"
"Dean DeBlois",102,"Djimon Hounsou",176997107,"Gerard Butler","How to Train Your Dragon 2 ","America Ferrera","English","USA",145000000,2014,7.9,"Action"
"Alex Proyas",126,"Elodie Yung",31141074,"Gerard Butler","Gods of Egypt ","Bryan Brown","English","USA",140000000,2016,5.5,"Action"
"Rob Cohen",121,"Joe Morton",31704416,"Sam Shepard","Stealth ","Richard Roxburgh","English","USA",135000000,2005,5,"Action"
"Zack Snyder",215,"Billy Crudup",107503316,"Matt Frewer","Watchmen ","Stephen McHattie","English","USA",130000000,2009,7.7,"Action"
"Richard Donner",127,"Rene Russo",129734803,"Jet Li","Lethal Weapon 4 ","Darlene Love","English","USA",140000000,1998,6.6,"Action"
"Ang Lee",138,"Regi Davis",132122995,"Kevin Rankin","Hulk ","Celia Weston","English","USA",137000000,2003,5.7,"Action"
"Jon M. Chu",122,"Dwayne Johnson",122512052,"Channing Tatum","G.I. Joe: Retaliation ","Elodie Yung","English","USA",130000000,2013,5.8,"Action"
"Breck Eisner",124,"Rainn Wilson",68642452,"Matthew McConaughey","Sahara ","Delroy Lindo","English","UK",130000000,2005,6,"Action"
"Hironobu Sakaguchi",106,"Ming-Na Wen",32131830,"Steve Buscemi","Final Fantasy: The Spirits Within ","Jean Simmons","English","USA",137000000,2001,6.4,"Action"
"Joe Johnston",124,"Dominic Cooper",176636816,"Chris Evans","Captain America: The First Avenger ","Hayley Atwell","English","USA",140000000,2011,6.9,"Action"
"Michael Apted",128,"Maria Grazia Cucinotta",126930660,"Colin Salmon","The World Is Not Enough ","Desmond Llewelyn","English","UK",135000000,1999,6.4,"Action"
"Peter Weir",138,"Lee Ingleby",93926386,"James D'Arcy","Master and Commander: The Far Side of the World ","David Threlfall","English","USA",150000000,2003,7.4,"Action"
"Bill Condon",115,"Kristen Stewart",292298923,"Robert Pattinson","The Twilight Saga: Breaking Dawn - Part 2 ","Taylor Lautner","English","USA",120000000,2012,5.5,"Adventure"
"George Miller",100,"Brad Pitt",63992328,"Robin Williams","Happy Feet 2 ","Common","English","Australia",135000000,2011,5.9,"Animation"
"Louis Leterrier",135,"Peter Mensah",134518390,"Ty Burrell","The Incredible Hulk ","William Hurt","English","USA",150000000,2008,6.8,"Action"
"Steven Spielberg",117,"Penelope Wilton",52792307,"Mark Rylance","The BFG ","Rafe Spall","English","UK",140000000,2016,6.8,"Adventure"
"Alejandro G. Iñárritu",156,"Tom Hardy",183635922,"Leonardo DiCaprio","The Revenant ","Lukas Haas","English","USA",135000000,2015,8.1,"Adventure"
"David Soren",96,"Snoop Dogg",83024900,"Ryan Reynolds","Turbo ","Ben Schwartz","English","USA",135000000,2013,6.5,"Adventure"
"Gore Verbinski",107,"Ray Winstone",123207194,"Johnny Depp","Rango ","Stephen Root","English","USA",135000000,2011,7.2,"Adventure"
"Eric Darnell",92,"Annet Mahendru",83348920,"Benedict Cumberbatch","Penguins of Madagascar ","Andy Richter","English","USA",132000000,2014,6.7,"Adventure"
"Paul Greengrass",115,"Edgar Ramírez",227137090,"Matt Damon","The Bourne Ultimatum ","Albert Finney","English","USA",110000000,2007,8.1,"Action"
"Mark Osborne",92,"Wayne Knight",215395021,"Angelina Jolie Pitt","Kung Fu Panda ","Dan Fogler","English","USA",130000000,2008,7.6,"Action"
"Peyton Reed",117,"Hayley Atwell",180191634,"Judy Greer","Ant-Man ","T.I.","English","USA",130000000,2015,7.4,"Action"
"Francis Lawrence",146,"Josh Hutcherson",424645577,"Jennifer Lawrence","The Hunger Games: Catching Fire ","Sandra Ellis Lafferty","English","USA",130000000,2013,7.6,"Adventure"
